plate	well	tile	cycle	channel
1	r03c04	1	1	1
1	r03c04	1	1	2
1	r03c04	1	1	3
1	r03c04	1	1	4
1	r03c04	1	1	5
1	r03c04	2	1	1
1	r03c04	2	1	2
1	r03c04	2	1	3
1	r03c04	2	1	4
1	r03c04	2	1	5
1	r03c04	3	1	1
1	r03c04	3	1	2
1	r03c04	3	1	3
1	r03c04	3	1	4
1	r03c04	3	1	5
1	r03c04	4	1	1
1	r03c04	4	1	2
1	r03c04	4	1	3
1	r03c04	4	1	4
1	r03c04	4	1	5
1	r03c04	6	1	1
1	r03c04	6	1	2
1	r03c04	6	1	3
1	r03c04	6	1	4
1	r03c04	6	1	5
1	r03c04	7	1	1
1	r03c04	7	1	2
1	r03c04	7	1	3
1	r03c04	7	1	4
1	r03c04	7	1	5
1	r03c04	8	1	1
1	r03c04	8	1	2
1	r03c04	8	1	3
1	r03c04	8	1	4
1	r03c04	8	1	5
1	r03c04	9	1	1
1	r03c04	9	1	2
1	r03c04	9	1	3
1	r03c04	9	1	4
1	r03c04	9	1	5
1	r03c04	10	1	1
1	r03c04	10	1	2
1	r03c04	10	1	3
1	r03c04	10	1	4
1	r03c04	10	1	5
1	r03c04	11	1	1
1	r03c04	11	1	2
1	r03c04	11	1	3
1	r03c04	11	1	4
1	r03c04	11	1	5
1	r03c04	12	1	1
1	r03c04	12	1	2
1	r03c04	12	1	3
1	r03c04	12	1	4
1	r03c04	12	1	5
1	r03c04	13	1	1
1	r03c04	13	1	2
1	r03c04	13	1	3
1	r03c04	13	1	4
1	r03c04	13	1	5
1	r03c04	14	1	1
1	r03c04	14	1	2
1	r03c04	14	1	3
1	r03c04	14	1	4
1	r03c04	14	1	5
1	r03c04	15	1	1
1	r03c04	15	1	2
1	r03c04	15	1	3
1	r03c04	15	1	4
1	r03c04	15	1	5
1	r03c04	16	1	1
1	r03c04	16	1	2
1	r03c04	16	1	3
1	r03c04	16	1	4
1	r03c04	16	1	5
1	r03c04	17	1	1
1	r03c04	17	1	2
1	r03c04	17	1	3
1	r03c04	17	1	4
1	r03c04	17	1	5
1	r03c04	18	1	1
1	r03c04	18	1	2
1	r03c04	18	1	3
1	r03c04	18	1	4
1	r03c04	18	1	5
1	r03c04	19	1	1
1	r03c04	19	1	2
1	r03c04	19	1	3
1	r03c04	19	1	4
1	r03c04	19	1	5
1	r03c04	20	1	1
1	r03c04	20	1	2
1	r03c04	20	1	3
1	r03c04	20	1	4
1	r03c04	20	1	5
1	r03c04	21	1	1
1	r03c04	21	1	2
1	r03c04	21	1	3
1	r03c04	21	1	4
1	r03c04	21	1	5
1	r03c04	22	1	1
1	r03c04	22	1	2
1	r03c04	22	1	3
1	r03c04	22	1	4
1	r03c04	22	1	5
1	r03c04	23	1	1
1	r03c04	23	1	2
1	r03c04	23	1	3
1	r03c04	23	1	4
1	r03c04	23	1	5
1	r03c04	24	1	1
1	r03c04	24	1	2
1	r03c04	24	1	3
1	r03c04	24	1	4
1	r03c04	24	1	5
1	r03c04	25	1	1
1	r03c04	25	1	2
1	r03c04	25	1	3
1	r03c04	25	1	4
1	r03c04	25	1	5
1	r03c04	26	1	1
1	r03c04	26	1	2
1	r03c04	26	1	3
1	r03c04	26	1	4
1	r03c04	26	1	5
1	r03c04	27	1	1
1	r03c04	27	1	2
1	r03c04	27	1	3
1	r03c04	27	1	4
1	r03c04	27	1	5
1	r03c04	28	1	1
1	r03c04	28	1	2
1	r03c04	28	1	3
1	r03c04	28	1	4
1	r03c04	28	1	5
1	r03c04	29	1	1
1	r03c04	29	1	2
1	r03c04	29	1	3
1	r03c04	29	1	4
1	r03c04	29	1	5
1	r03c04	30	1	1
1	r03c04	30	1	2
1	r03c04	30	1	3
1	r03c04	30	1	4
1	r03c04	30	1	5
1	r03c04	31	1	1
1	r03c04	31	1	2
1	r03c04	31	1	3
1	r03c04	31	1	4
1	r03c04	31	1	5
1	r03c04	32	1	1
1	r03c04	32	1	2
1	r03c04	32	1	3
1	r03c04	32	1	4
1	r03c04	32	1	5
1	r03c04	33	1	1
1	r03c04	33	1	2
1	r03c04	33	1	3
1	r03c04	33	1	4
1	r03c04	33	1	5
1	r03c04	34	1	1
1	r03c04	34	1	2
1	r03c04	34	1	3
1	r03c04	34	1	4
1	r03c04	34	1	5
1	r03c04	35	1	1
1	r03c04	35	1	2
1	r03c04	35	1	3
1	r03c04	35	1	4
1	r03c04	35	1	5
1	r03c04	36	1	1
1	r03c04	36	1	2
1	r03c04	36	1	3
1	r03c04	36	1	4
1	r03c04	36	1	5
1	r03c04	37	1	1
1	r03c04	37	1	2
1	r03c04	37	1	3
1	r03c04	37	1	4
1	r03c04	37	1	5
1	r03c04	38	1	1
1	r03c04	38	1	2
1	r03c04	38	1	3
1	r03c04	38	1	4
1	r03c04	38	1	5
1	r03c04	39	1	1
1	r03c04	39	1	2
1	r03c04	39	1	3
1	r03c04	39	1	4
1	r03c04	39	1	5
1	r03c04	40	1	1
1	r03c04	40	1	2
1	r03c04	40	1	3
1	r03c04	40	1	4
1	r03c04	40	1	5
1	r03c04	41	1	1
1	r03c04	41	1	2
1	r03c04	41	1	3
1	r03c04	41	1	4
1	r03c04	41	1	5
1	r03c04	42	1	1
1	r03c04	42	1	2
1	r03c04	42	1	3
1	r03c04	42	1	4
1	r03c04	42	1	5
1	r03c04	43	1	1
1	r03c04	43	1	2
1	r03c04	43	1	3
1	r03c04	43	1	4
1	r03c04	43	1	5
1	r03c04	44	1	1
1	r03c04	44	1	2
1	r03c04	44	1	3
1	r03c04	44	1	4
1	r03c04	44	1	5
1	r03c04	45	1	1
1	r03c04	45	1	2
1	r03c04	45	1	3
1	r03c04	45	1	4
1	r03c04	45	1	5
1	r03c04	46	1	1
1	r03c04	46	1	2
1	r03c04	46	1	3
1	r03c04	46	1	4
1	r03c04	46	1	5
1	r03c04	47	1	1
1	r03c04	47	1	2
1	r03c04	47	1	3
1	r03c04	47	1	4
1	r03c04	47	1	5
1	r03c04	48	1	1
1	r03c04	48	1	2
1	r03c04	48	1	3
1	r03c04	48	1	4
1	r03c04	48	1	5
1	r03c04	49	1	1
1	r03c04	49	1	2
1	r03c04	49	1	3
1	r03c04	49	1	4
1	r03c04	49	1	5
1	r03c04	50	1	1
1	r03c04	50	1	2
1	r03c04	50	1	3
1	r03c04	50	1	4
1	r03c04	50	1	5
1	r03c04	51	1	1
1	r03c04	51	1	2
1	r03c04	51	1	3
1	r03c04	51	1	4
1	r03c04	51	1	5
1	r03c04	52	1	1
1	r03c04	52	1	2
1	r03c04	52	1	3
1	r03c04	52	1	4
1	r03c04	52	1	5
1	r03c04	53	1	1
1	r03c04	53	1	2
1	r03c04	53	1	3
1	r03c04	53	1	4
1	r03c04	53	1	5
1	r03c04	54	1	1
1	r03c04	54	1	2
1	r03c04	54	1	3
1	r03c04	54	1	4
1	r03c04	54	1	5
1	r03c04	55	1	1
1	r03c04	55	1	2
1	r03c04	55	1	3
1	r03c04	55	1	4
1	r03c04	55	1	5
1	r03c04	56	1	1
1	r03c04	56	1	2
1	r03c04	56	1	3
1	r03c04	56	1	4
1	r03c04	56	1	5
1	r03c04	57	1	1
1	r03c04	57	1	2
1	r03c04	57	1	3
1	r03c04	57	1	4
1	r03c04	57	1	5
1	r03c04	58	1	1
1	r03c04	58	1	2
1	r03c04	58	1	3
1	r03c04	58	1	4
1	r03c04	58	1	5
1	r03c04	59	1	1
1	r03c04	59	1	2
1	r03c04	59	1	3
1	r03c04	59	1	4
1	r03c04	59	1	5
1	r03c04	60	1	1
1	r03c04	60	1	2
1	r03c04	60	1	3
1	r03c04	60	1	4
1	r03c04	60	1	5
1	r03c04	61	1	1
1	r03c04	61	1	2
1	r03c04	61	1	3
1	r03c04	61	1	4
1	r03c04	61	1	5
1	r03c04	62	1	1
1	r03c04	62	1	2
1	r03c04	62	1	3
1	r03c04	62	1	4
1	r03c04	62	1	5
1	r03c04	63	1	1
1	r03c04	63	1	2
1	r03c04	63	1	3
1	r03c04	63	1	4
1	r03c04	63	1	5
1	r03c04	64	1	1
1	r03c04	64	1	2
1	r03c04	64	1	3
1	r03c04	64	1	4
1	r03c04	64	1	5
1	r03c04	1	2	1
1	r03c04	1	2	2
1	r03c04	1	2	3
1	r03c04	1	2	4
1	r03c04	1	2	5
1	r03c04	2	2	1
1	r03c04	2	2	2
1	r03c04	2	2	3
1	r03c04	2	2	4
1	r03c04	2	2	5
1	r03c04	3	2	1
1	r03c04	3	2	2
1	r03c04	3	2	3
1	r03c04	3	2	4
1	r03c04	3	2	5
1	r03c04	4	2	1
1	r03c04	4	2	2
1	r03c04	4	2	3
1	r03c04	4	2	4
1	r03c04	4	2	5
1	r03c04	6	2	1
1	r03c04	6	2	2
1	r03c04	6	2	3
1	r03c04	6	2	4
1	r03c04	6	2	5
1	r03c04	7	2	1
1	r03c04	7	2	2
1	r03c04	7	2	3
1	r03c04	7	2	4
1	r03c04	7	2	5
1	r03c04	8	2	1
1	r03c04	8	2	2
1	r03c04	8	2	3
1	r03c04	8	2	4
1	r03c04	8	2	5
1	r03c04	9	2	1
1	r03c04	9	2	2
1	r03c04	9	2	3
1	r03c04	9	2	4
1	r03c04	9	2	5
1	r03c04	10	2	1
1	r03c04	10	2	2
1	r03c04	10	2	3
1	r03c04	10	2	4
1	r03c04	10	2	5
1	r03c04	11	2	1
1	r03c04	11	2	2
1	r03c04	11	2	3
1	r03c04	11	2	4
1	r03c04	11	2	5
1	r03c04	12	2	1
1	r03c04	12	2	2
1	r03c04	12	2	3
1	r03c04	12	2	4
1	r03c04	12	2	5
1	r03c04	13	2	1
1	r03c04	13	2	2
1	r03c04	13	2	3
1	r03c04	13	2	4
1	r03c04	13	2	5
1	r03c04	14	2	1
1	r03c04	14	2	2
1	r03c04	14	2	3
1	r03c04	14	2	4
1	r03c04	14	2	5
1	r03c04	15	2	1
1	r03c04	15	2	2
1	r03c04	15	2	3
1	r03c04	15	2	4
1	r03c04	15	2	5
1	r03c04	16	2	1
1	r03c04	16	2	2
1	r03c04	16	2	3
1	r03c04	16	2	4
1	r03c04	16	2	5
1	r03c04	17	2	1
1	r03c04	17	2	2
1	r03c04	17	2	3
1	r03c04	17	2	4
1	r03c04	17	2	5
1	r03c04	18	2	1
1	r03c04	18	2	2
1	r03c04	18	2	3
1	r03c04	18	2	4
1	r03c04	18	2	5
1	r03c04	19	2	1
1	r03c04	19	2	2
1	r03c04	19	2	3
1	r03c04	19	2	4
1	r03c04	19	2	5
1	r03c04	20	2	1
1	r03c04	20	2	2
1	r03c04	20	2	3
1	r03c04	20	2	4
1	r03c04	20	2	5
1	r03c04	21	2	1
1	r03c04	21	2	2
1	r03c04	21	2	3
1	r03c04	21	2	4
1	r03c04	21	2	5
1	r03c04	22	2	1
1	r03c04	22	2	2
1	r03c04	22	2	3
1	r03c04	22	2	4
1	r03c04	22	2	5
1	r03c04	23	2	1
1	r03c04	23	2	2
1	r03c04	23	2	3
1	r03c04	23	2	4
1	r03c04	23	2	5
1	r03c04	24	2	1
1	r03c04	24	2	2
1	r03c04	24	2	3
1	r03c04	24	2	4
1	r03c04	24	2	5
1	r03c04	25	2	1
1	r03c04	25	2	2
1	r03c04	25	2	3
1	r03c04	25	2	4
1	r03c04	25	2	5
1	r03c04	26	2	1
1	r03c04	26	2	2
1	r03c04	26	2	3
1	r03c04	26	2	4
1	r03c04	26	2	5
1	r03c04	27	2	1
1	r03c04	27	2	2
1	r03c04	27	2	3
1	r03c04	27	2	4
1	r03c04	27	2	5
1	r03c04	28	2	1
1	r03c04	28	2	2
1	r03c04	28	2	3
1	r03c04	28	2	4
1	r03c04	28	2	5
1	r03c04	29	2	1
1	r03c04	29	2	2
1	r03c04	29	2	3
1	r03c04	29	2	4
1	r03c04	29	2	5
1	r03c04	30	2	1
1	r03c04	30	2	2
1	r03c04	30	2	3
1	r03c04	30	2	4
1	r03c04	30	2	5
1	r03c04	31	2	1
1	r03c04	31	2	2
1	r03c04	31	2	3
1	r03c04	31	2	4
1	r03c04	31	2	5
1	r03c04	32	2	1
1	r03c04	32	2	2
1	r03c04	32	2	3
1	r03c04	32	2	4
1	r03c04	32	2	5
1	r03c04	33	2	1
1	r03c04	33	2	2
1	r03c04	33	2	3
1	r03c04	33	2	4
1	r03c04	33	2	5
1	r03c04	34	2	1
1	r03c04	34	2	2
1	r03c04	34	2	3
1	r03c04	34	2	4
1	r03c04	34	2	5
1	r03c04	35	2	1
1	r03c04	35	2	2
1	r03c04	35	2	3
1	r03c04	35	2	4
1	r03c04	35	2	5
1	r03c04	36	2	1
1	r03c04	36	2	2
1	r03c04	36	2	3
1	r03c04	36	2	4
1	r03c04	36	2	5
1	r03c04	37	2	1
1	r03c04	37	2	2
1	r03c04	37	2	3
1	r03c04	37	2	4
1	r03c04	37	2	5
1	r03c04	38	2	1
1	r03c04	38	2	2
1	r03c04	38	2	3
1	r03c04	38	2	4
1	r03c04	38	2	5
1	r03c04	39	2	1
1	r03c04	39	2	2
1	r03c04	39	2	3
1	r03c04	39	2	4
1	r03c04	39	2	5
1	r03c04	40	2	1
1	r03c04	40	2	2
1	r03c04	40	2	3
1	r03c04	40	2	4
1	r03c04	40	2	5
1	r03c04	41	2	1
1	r03c04	41	2	2
1	r03c04	41	2	3
1	r03c04	41	2	4
1	r03c04	41	2	5
1	r03c04	42	2	1
1	r03c04	42	2	2
1	r03c04	42	2	3
1	r03c04	42	2	4
1	r03c04	42	2	5
1	r03c04	43	2	1
1	r03c04	43	2	2
1	r03c04	43	2	3
1	r03c04	43	2	4
1	r03c04	43	2	5
1	r03c04	44	2	1
1	r03c04	44	2	2
1	r03c04	44	2	3
1	r03c04	44	2	4
1	r03c04	44	2	5
1	r03c04	45	2	1
1	r03c04	45	2	2
1	r03c04	45	2	3
1	r03c04	45	2	4
1	r03c04	45	2	5
1	r03c04	46	2	1
1	r03c04	46	2	2
1	r03c04	46	2	3
1	r03c04	46	2	4
1	r03c04	46	2	5
1	r03c04	47	2	1
1	r03c04	47	2	2
1	r03c04	47	2	3
1	r03c04	47	2	4
1	r03c04	47	2	5
1	r03c04	48	2	1
1	r03c04	48	2	2
1	r03c04	48	2	3
1	r03c04	48	2	4
1	r03c04	48	2	5
1	r03c04	49	2	1
1	r03c04	49	2	2
1	r03c04	49	2	3
1	r03c04	49	2	4
1	r03c04	49	2	5
1	r03c04	50	2	1
1	r03c04	50	2	2
1	r03c04	50	2	3
1	r03c04	50	2	4
1	r03c04	50	2	5
1	r03c04	51	2	1
1	r03c04	51	2	2
1	r03c04	51	2	3
1	r03c04	51	2	4
1	r03c04	51	2	5
1	r03c04	52	2	1
1	r03c04	52	2	2
1	r03c04	52	2	3
1	r03c04	52	2	4
1	r03c04	52	2	5
1	r03c04	53	2	1
1	r03c04	53	2	2
1	r03c04	53	2	3
1	r03c04	53	2	4
1	r03c04	53	2	5
1	r03c04	54	2	1
1	r03c04	54	2	2
1	r03c04	54	2	3
1	r03c04	54	2	4
1	r03c04	54	2	5
1	r03c04	55	2	1
1	r03c04	55	2	2
1	r03c04	55	2	3
1	r03c04	55	2	4
1	r03c04	55	2	5
1	r03c04	56	2	1
1	r03c04	56	2	2
1	r03c04	56	2	3
1	r03c04	56	2	4
1	r03c04	56	2	5
1	r03c04	57	2	1
1	r03c04	57	2	2
1	r03c04	57	2	3
1	r03c04	57	2	4
1	r03c04	57	2	5
1	r03c04	58	2	1
1	r03c04	58	2	2
1	r03c04	58	2	3
1	r03c04	58	2	4
1	r03c04	58	2	5
1	r03c04	59	2	1
1	r03c04	59	2	2
1	r03c04	59	2	3
1	r03c04	59	2	4
1	r03c04	59	2	5
1	r03c04	60	2	1
1	r03c04	60	2	2
1	r03c04	60	2	3
1	r03c04	60	2	4
1	r03c04	60	2	5
1	r03c04	61	2	1
1	r03c04	61	2	2
1	r03c04	61	2	3
1	r03c04	61	2	4
1	r03c04	61	2	5
1	r03c04	62	2	1
1	r03c04	62	2	2
1	r03c04	62	2	3
1	r03c04	62	2	4
1	r03c04	62	2	5
1	r03c04	63	2	1
1	r03c04	63	2	2
1	r03c04	63	2	3
1	r03c04	63	2	4
1	r03c04	63	2	5
1	r03c04	64	2	1
1	r03c04	64	2	2
1	r03c04	64	2	3
1	r03c04	64	2	4
1	r03c04	64	2	5
1	r03c04	1	3	1
1	r03c04	1	3	2
1	r03c04	1	3	3
1	r03c04	1	3	4
1	r03c04	1	3	5
1	r03c04	2	3	1
1	r03c04	2	3	2
1	r03c04	2	3	3
1	r03c04	2	3	4
1	r03c04	2	3	5
1	r03c04	3	3	1
1	r03c04	3	3	2
1	r03c04	3	3	3
1	r03c04	3	3	4
1	r03c04	3	3	5
1	r03c04	4	3	1
1	r03c04	4	3	2
1	r03c04	4	3	3
1	r03c04	4	3	4
1	r03c04	4	3	5
1	r03c04	6	3	1
1	r03c04	6	3	2
1	r03c04	6	3	3
1	r03c04	6	3	4
1	r03c04	6	3	5
1	r03c04	7	3	1
1	r03c04	7	3	2
1	r03c04	7	3	3
1	r03c04	7	3	4
1	r03c04	7	3	5
1	r03c04	8	3	1
1	r03c04	8	3	2
1	r03c04	8	3	3
1	r03c04	8	3	4
1	r03c04	8	3	5
1	r03c04	9	3	1
1	r03c04	9	3	2
1	r03c04	9	3	3
1	r03c04	9	3	4
1	r03c04	9	3	5
1	r03c04	10	3	1
1	r03c04	10	3	2
1	r03c04	10	3	3
1	r03c04	10	3	4
1	r03c04	10	3	5
1	r03c04	11	3	1
1	r03c04	11	3	2
1	r03c04	11	3	3
1	r03c04	11	3	4
1	r03c04	11	3	5
1	r03c04	12	3	1
1	r03c04	12	3	2
1	r03c04	12	3	3
1	r03c04	12	3	4
1	r03c04	12	3	5
1	r03c04	13	3	1
1	r03c04	13	3	2
1	r03c04	13	3	3
1	r03c04	13	3	4
1	r03c04	13	3	5
1	r03c04	14	3	1
1	r03c04	14	3	2
1	r03c04	14	3	3
1	r03c04	14	3	4
1	r03c04	14	3	5
1	r03c04	15	3	1
1	r03c04	15	3	2
1	r03c04	15	3	3
1	r03c04	15	3	4
1	r03c04	15	3	5
1	r03c04	16	3	1
1	r03c04	16	3	2
1	r03c04	16	3	3
1	r03c04	16	3	4
1	r03c04	16	3	5
1	r03c04	17	3	1
1	r03c04	17	3	2
1	r03c04	17	3	3
1	r03c04	17	3	4
1	r03c04	17	3	5
1	r03c04	18	3	1
1	r03c04	18	3	2
1	r03c04	18	3	3
1	r03c04	18	3	4
1	r03c04	18	3	5
1	r03c04	19	3	1
1	r03c04	19	3	2
1	r03c04	19	3	3
1	r03c04	19	3	4
1	r03c04	19	3	5
1	r03c04	20	3	1
1	r03c04	20	3	2
1	r03c04	20	3	3
1	r03c04	20	3	4
1	r03c04	20	3	5
1	r03c04	21	3	1
1	r03c04	21	3	2
1	r03c04	21	3	3
1	r03c04	21	3	4
1	r03c04	21	3	5
1	r03c04	22	3	1
1	r03c04	22	3	2
1	r03c04	22	3	3
1	r03c04	22	3	4
1	r03c04	22	3	5
1	r03c04	23	3	1
1	r03c04	23	3	2
1	r03c04	23	3	3
1	r03c04	23	3	4
1	r03c04	23	3	5
1	r03c04	24	3	1
1	r03c04	24	3	2
1	r03c04	24	3	3
1	r03c04	24	3	4
1	r03c04	24	3	5
1	r03c04	25	3	1
1	r03c04	25	3	2
1	r03c04	25	3	3
1	r03c04	25	3	4
1	r03c04	25	3	5
1	r03c04	26	3	1
1	r03c04	26	3	2
1	r03c04	26	3	3
1	r03c04	26	3	4
1	r03c04	26	3	5
1	r03c04	27	3	1
1	r03c04	27	3	2
1	r03c04	27	3	3
1	r03c04	27	3	4
1	r03c04	27	3	5
1	r03c04	28	3	1
1	r03c04	28	3	2
1	r03c04	28	3	3
1	r03c04	28	3	4
1	r03c04	28	3	5
1	r03c04	29	3	1
1	r03c04	29	3	2
1	r03c04	29	3	3
1	r03c04	29	3	4
1	r03c04	29	3	5
1	r03c04	30	3	1
1	r03c04	30	3	2
1	r03c04	30	3	3
1	r03c04	30	3	4
1	r03c04	30	3	5
1	r03c04	31	3	1
1	r03c04	31	3	2
1	r03c04	31	3	3
1	r03c04	31	3	4
1	r03c04	31	3	5
1	r03c04	32	3	1
1	r03c04	32	3	2
1	r03c04	32	3	3
1	r03c04	32	3	4
1	r03c04	32	3	5
1	r03c04	33	3	1
1	r03c04	33	3	2
1	r03c04	33	3	3
1	r03c04	33	3	4
1	r03c04	33	3	5
1	r03c04	34	3	1
1	r03c04	34	3	2
1	r03c04	34	3	3
1	r03c04	34	3	4
1	r03c04	34	3	5
1	r03c04	35	3	1
1	r03c04	35	3	2
1	r03c04	35	3	3
1	r03c04	35	3	4
1	r03c04	35	3	5
1	r03c04	36	3	1
1	r03c04	36	3	2
1	r03c04	36	3	3
1	r03c04	36	3	4
1	r03c04	36	3	5
1	r03c04	37	3	1
1	r03c04	37	3	2
1	r03c04	37	3	3
1	r03c04	37	3	4
1	r03c04	37	3	5
1	r03c04	38	3	1
1	r03c04	38	3	2
1	r03c04	38	3	3
1	r03c04	38	3	4
1	r03c04	38	3	5
1	r03c04	39	3	1
1	r03c04	39	3	2
1	r03c04	39	3	3
1	r03c04	39	3	4
1	r03c04	39	3	5
1	r03c04	40	3	1
1	r03c04	40	3	2
1	r03c04	40	3	3
1	r03c04	40	3	4
1	r03c04	40	3	5
1	r03c04	41	3	1
1	r03c04	41	3	2
1	r03c04	41	3	3
1	r03c04	41	3	4
1	r03c04	41	3	5
1	r03c04	42	3	1
1	r03c04	42	3	2
1	r03c04	42	3	3
1	r03c04	42	3	4
